discounted_distance
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
212,41,0,0,0.0925,40.0,40.0,0.75,0
213,15,0,1,0.0325,13.0,13.0,0.0,0
214,17,0,1,0.0325,15.0,15.0,0.5,0
215,36,1,0,0.0875,36.0,36.0,1.0,1
216,21,0,1,0.0475,19.0,19.0,0.25,0
217,28,0,1,0.065,26.0,26.0,0.25,0
218,3,0,1,0.0025,1.0,1.0,0.0,0
219,21,0,1,0.0475,19.0,19.0,0.25,0
220,31,0,1,0.0725,29.0,29.0,0.25,0
221,60,0,0,0.1475,59.0,59.0,0.75,0
222,23,0,1,0.0525,21.0,21.0,0.5,0
223,9,0,1,0.0175,7.0,7.0,0.0,0
224,34,1,0,0.085,34.0,34.0,1.0,1
225,63,0,0,0.155,62.0,62.0,0.75,0
226,9,0,1,0.0175,7.0,7.0,0.0,0
227,49,0,1,0.1175,47.0,47.0,0.75,0
228,42,0,1,0.0975,40.0,40.0,0.75,0
229,30,0,1,0.07,28.0,28.0,0.75,0
230,18,0,1,0.04,16.0,16.0,0.25,0
231,30,0,1,0.07,28.0,28.0,0.5,0
232,19,0,1,0.0425,17.0,17.0,0.0,0
233,56,0,0,0.135,55.0,55.0,0.75,0
234,26,0,1,0.06,24.0,24.0,0.0,0
235,57,0,0,0.14,56.0,56.0,0.75,0
236,50,0,1,0.115,48.0,48.0,0.5,0
237,8,0,1,0.015,6.0,6.0,0.0,0
238,10,0,1,0.02,8.0,8.0,0.0,0
239,10,0,1,0.02,8.0,8.0,0.0,0
240,19,0,1,0.0425,17.0,17.0,0.25,0
241,47,0,0,0.1125,46.0,46.0,0.75,0
242,49,0,0,0.115,48.0,48.0,0.75,0
243,49,0,0,0.1175,48.0,48.0,0.75,0
244,52,0,0,0.1275,51.0,51.0,0.75,0
245,5,0,1,0.0075,3.0,3.0,0.0,0
246,18,0,1,0.04,16.0,16.0,0.25,0
247,43,0,0,0.0975,42.0,42.0,0.75,0
248,9,0,1,0.0175,7.0,7.0,0.0,0
249,19,0,1,0.0425,17.0,17.0,0.25,0
250,4,0,1,0.005,2.0,2.0,0.0,0
251,29,0,1,0.0675,27.0,27.0,0.5,0
252,19,0,1,0.0425,17.0,17.0,0.25,0
253,8,0,1,0.015,6.0,6.0,0.0,0
254,29,0,1,0.0675,27.0,27.0,0.25,0
255,10,0,1,0.02,8.0,8.0,0.0,0
256,19,0,1,0.0425,17.0,17.0,0.0,0
257,54,0,0,0.1325,53.0,53.0,0.75,0
258,18,0,1,0.04,16.0,16.0,0.25,0
259,63,0,0,0.1525,62.0,62.0,0.75,0
260,53,0,0,0.13,52.0,52.0,0.75,0
261,50,0,0,0.1225,49.0,49.0,0.75,0
262,58,0,0,0.1425,57.0,57.0,0.75,0
263,19,0,1,0.0425,17.0,17.0,0.25,0
264,16,0,1,0.035,14.0,14.0,0.25,0
265,16,0,1,0.035,14.0,14.0,0.25,0
266,19,0,1,0.0425,17.0,17.0,0.25,0
267,32,1,0,0.08,32.0,32.0,1.0,1
268,42,0,1,0.1,40.0,40.0,0.25,0
269,50,0,0,0.1225,49.0,49.0,0.75,0
270,12,0,1,0.025,10.0,10.0,0.25,0
271,42,0,0,0.1025,41.0,41.0,0.75,0
272,32,0,1,0.0725,30.0,30.0,0.5,0
273,37,0,0,0.08,36.0,36.0,0.75,0
274,46,0,0,0.1125,45.0,45.0,0.75,0
275,55,0,0,0.1275,54.0,54.0,0.75,0
276,45,0,1,0.1075,43.0,43.0,0.75,0
277,42,0,0,0.1025,41.0,41.0,0.75,0
278,31,0,1,0.0725,29.0,29.0,0.25,0
279,40,0,0,0.0975,39.0,39.0,0.75,0
280,51,0,0,0.125,50.0,50.0,0.75,0
281,48,0,0,0.1175,47.0,47.0,0.75,0
282,45,0,0,0.1075,44.0,44.0,0.75,0
283,17,0,1,0.0375,15.0,15.0,0.25,0
284,18,0,1,0.04,16.0,16.0,0.25,0
285,41,1,0,0.1,41.0,41.0,1.0,1
286,43,0,0,0.095,42.0,42.0,0.75,0
287,57,0,0,0.1375,56.0,56.0,0.75,0
288,41,0,0,0.1,40.0,40.0,0.75,0
289,44,0,0,0.1075,43.0,43.0,0.75,0
290,28,0,1,0.065,26.0,26.0,0.0,0
291,29,0,1,0.0675,27.0,27.0,0.5,0
292,24,0,1,0.055,22.0,22.0,0.25,0
293,17,0,1,0.0375,15.0,15.0,0.0,0
294,18,0,1,0.04,16.0,16.0,0.0,0
295,22,0,1,0.05,20.0,20.0,0.25,0
296,48,0,0,0.1175,47.0,47.0,0.75,0
297,52,0,0,0.1275,51.0,51.0,0.75,0
298,28,0,1,0.065,26.0,26.0,0.5,0
299,33,0,1,0.0775,31.0,31.0,0.25,0
300,6,0,1,0.01,4.0,4.0,0.0,0
301,30,0,1,0.07,28.0,28.0,0.25,0
302,62,0,0,0.15,61.0,61.0,0.75,0
303,36,0,1,0.085,34.0,34.0,0.5,0
304,50,0,0,0.1225,49.0,49.0,0.75,0
305,36,0,1,0.085,34.0,34.0,0.5,0
306,39,0,1,0.0925,37.0,37.0,0.5,0
307,15,0,1,0.0325,13.0,13.0,0.0,0
308,43,0,0,0.1025,42.0,42.0,0.75,0
309,34,0,1,0.08,32.0,32.0,0.5,0
310,17,0,1,0.0375,15.0,15.0,0.0,0
311,10,0,1,0.02,8.0,8.0,0.0,0
312,24,0,1,0.055,22.0,22.0,0.5,0
313,55,0,0,0.135,54.0,54.0,0.75,0
314,19,0,1,0.0425,17.0,17.0,0.0,0
315,16,0,1,0.035,14.0,14.0,0.0,0
316,38,0,1,0.09,36.0,36.0,0.25,0
317,34,0,1,0.08,32.0,32.0,0.25,0
318,14,0,1,0.03,12.0,12.0,0.0,0
319,46,0,1,0.1075,44.0,44.0,0.25,0
320,17,0,1,0.0375,15.0,15.0,0.25,0
321,41,0,0,0.1,40.0,40.0,0.75,0
322,44,0,1,0.105,42.0,42.0,0.75,0
323,29,0,1,0.0675,27.0,27.0,0.25,0
324,31,0,1,0.07,29.0,29.0,0.5,0
325,14,0,1,0.03,12.0,12.0,0.25,0
326,49,0,0,0.12,48.0,48.0,0.75,0
327,37,0,1,0.0875,35.0,35.0,0.5,0
328,18,0,1,0.04,16.0,16.0,0.0,0
329,20,0,1,0.045,18.0,18.0,0.0,0
330,33,0,1,0.0775,31.0,31.0,0.25,0
331,21,0,1,0.0475,19.0,19.0,0.25,0
332,20,0,1,0.045,18.0,18.0,0.0,0
333,24,0,1,0.055,22.0,22.0,0.25,0
334,44,1,0,0.105,44.0,44.0,1.0,1
335,25,1,0,0.0625,25.0,25.0,1.0,1
336,56,0,0,0.1375,55.0,55.0,0.75,0
337,22,0,1,0.05,20.0,20.0,0.5,0
338,29,0,1,0.0675,27.0,27.0,0.5,0
339,26,0,1,0.06,24.0,24.0,0.5,0
340,24,0,1,0.055,22.0,22.0,0.25,0
341,22,0,1,0.05,20.0,20.0,0.0,0
342,37,0,1,0.0875,35.0,35.0,0.25,0
343,31,0,1,0.0725,29.0,29.0,0.25,0
344,12,0,1,0.025,10.0,10.0,0.0,0
345,8,0,1,0.015,6.0,6.0,0.0,0
346,17,0,1,0.0375,15.0,15.0,0.0,0
347,44,0,0,0.1075,43.0,43.0,0.75,0
348,6,0,1,0.01,4.0,4.0,0.0,0
349,39,0,1,0.0925,37.0,37.0,0.75,0
350,19,0,1,0.0425,17.0,17.0,0.5,0
351,5,0,1,0.0075,3.0,3.0,0.0,0
352,35,0,1,0.0825,33.0,33.0,0.5,0
353,65,0,0,0.155,64.0,64.0,0.75,0
