traverse_p_qa
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
253,47,0,3,0.1725,23.0,115.0,0.0,0
254,67,1,1,0.2275,32.4,162.0,1.0,1
255,14,0,3,0.025,5.2,26.0,0.3333333333333333,0
256,51,1,2,0.2025,24.6,123.0,1.0,1
257,38,0,3,0.105,14.0,70.0,0.0,0
258,60,0,3,0.17,31.6,158.0,0.3333333333333333,0
259,39,1,0,0.1675,23.4,117.0,1.0,1
260,75,1,2,0.28,26.2,131.0,1.0,1
261,22,0,3,0.055,12.0,60.0,0.3333333333333333,0
262,18,0,3,0.0475,8.0,40.0,0.0,0
263,23,1,1,0.1125,13.4,67.0,1.0,1
264,56,0,3,0.2225,20.4,102.0,0.6666666666666666,0
265,33,0,3,0.11,15.0,75.0,0.3333333333333333,0
266,22,0,3,0.085,9.4,47.0,0.3333333333333333,0
267,38,1,1,0.14,18.0,90.0,1.0,1
268,36,1,1,0.13,18.2,91.0,1.0,1
269,40,0,3,0.15,16.2,81.0,0.6666666666666666,0
270,53,0,3,0.15,17.6,88.0,0.6666666666666666,0
271,32,1,2,0.1175,13.2,66.0,1.0,1
272,34,0,3,0.08,19.2,96.0,0.0,0
273,27,0,3,0.0625,15.0,75.0,0.0,0
274,78,1,2,0.19,29.4,147.0,1.0,1
275,48,0,3,0.1625,23.6,118.0,0.3333333333333333,0
276,24,0,3,0.075,9.6,48.0,0.3333333333333333,0
277,93,0,3,0.2625,32.6,163.0,0.6666666666666666,0
278,53,1,2,0.135,19.2,96.0,1.0,1
279,60,1,1,0.255,32.0,160.0,1.0,1
280,90,1,1,0.2225,43.0,215.0,1.0,1
281,53,1,1,0.2225,25.6,128.0,1.0,1
282,51,1,1,0.2125,24.8,124.0,1.0,1
283,53,0,3,0.1275,26.6,133.0,0.3333333333333333,0
284,72,1,2,0.19,29.6,148.0,1.0,1
285,48,0,3,0.1425,14.8,74.0,0.6666666666666666,0
286,67,1,2,0.165,20.4,102.0,1.0,1
287,46,1,1,0.115,21.6,108.0,1.0,1
288,62,0,3,0.1475,13.2,66.0,0.6666666666666666,0
289,30,0,3,0.1025,12.2,61.0,0.3333333333333333,0
290,27,1,1,0.1325,11.6,58.0,1.0,1
291,21,1,1,0.1,11.6,58.0,1.0,1
292,17,0,3,0.0375,9.0,45.0,0.0,0
293,59,1,2,0.1675,19.2,96.0,1.0,1
294,60,1,2,0.2275,23.2,116.0,1.0,1
295,35,0,3,0.0975,12.0,60.0,0.3333333333333333,0
296,33,1,2,0.0875,14.2,71.0,1.0,1
297,33,0,3,0.0775,18.6,93.0,0.0,0
298,30,1,0,0.115,18.0,90.0,1.0,1
299,42,0,3,0.1375,20.4,102.0,0.6666666666666666,0
300,59,1,1,0.215,28.6,143.0,1.0,1
301,22,1,2,0.0725,8.0,40.0,1.0,1
302,34,0,3,0.08,12.4,62.0,0.3333333333333333,0
303,64,0,3,0.145,32.2,161.0,0.6666666666666666,0
304,39,1,2,0.1575,18.6,93.0,1.0,1
305,34,0,3,0.08,16.0,80.0,0.3333333333333333,0
306,59,0,3,0.14,24.2,121.0,0.6666666666666666,0
307,67,0,3,0.16,26.4,132.0,0.3333333333333333,0
308,45,0,3,0.1075,19.0,95.0,0.3333333333333333,0
309,42,0,3,0.1,13.4,67.0,0.6666666666666666,0
310,45,1,1,0.165,20.2,101.0,1.0,1
311,30,0,3,0.0725,11.2,56.0,0.0,0
312,45,1,1,0.205,26.0,130.0,1.0,1
313,27,0,3,0.0725,7.8,39.0,0.0,0
314,38,1,1,0.15,21.6,108.0,1.0,1
315,36,1,1,0.1475,18.6,93.0,1.0,1
316,42,1,1,0.14,21.0,105.0,1.0,1
317,69,0,3,0.225,26.8,134.0,0.6666666666666666,0
318,52,0,3,0.125,17.2,86.0,0.6666666666666666,0
319,49,1,0,0.17,29.4,147.0,1.0,1
320,77,0,3,0.17,26.4,132.0,0.6666666666666666,0
321,21,0,3,0.075,11.4,57.0,0.0,0
322,44,0,3,0.1475,20.2,101.0,0.3333333333333333,0
323,51,1,2,0.19,23.4,117.0,1.0,1
324,39,0,3,0.0925,22.2,111.0,0.3333333333333333,0
325,45,1,1,0.175,21.2,106.0,1.0,1
326,28,0,3,0.1075,11.8,59.0,0.6666666666666666,0
327,15,0,3,0.0375,6.8,34.0,0.0,0
328,79,0,3,0.175,27.8,139.0,0.6666666666666666,0
329,41,0,3,0.0975,13.0,65.0,0.0,0
330,37,0,3,0.0875,11.4,57.0,0.0,0
331,8,0,3,0.015,3.6,18.0,0.0,0
332,75,1,2,0.185,25.4,127.0,1.0,1
333,35,1,1,0.15,19.6,98.0,1.0,1
334,29,0,3,0.11,14.6,73.0,0.3333333333333333,0
335,32,1,1,0.0925,15.6,78.0,1.0,1
336,49,0,3,0.1175,19.8,99.0,0.6666666666666666,0
337,51,0,3,0.1225,10.2,51.0,0.6666666666666666,0
338,23,0,3,0.085,11.4,57.0,0.3333333333333333,0
339,23,0,3,0.0525,12.6,63.0,0.0,0
340,72,0,3,0.175,19.6,98.0,0.6666666666666666,0
341,37,1,1,0.1775,21.6,108.0,1.0,1
342,37,1,0,0.1625,22.2,111.0,1.0,1
343,74,1,2,0.185,20.4,102.0,1.0,1
344,43,1,1,0.1375,19.6,98.0,1.0,1
345,29,0,3,0.11,14.6,73.0,0.0,0
346,44,0,3,0.1125,16.4,82.0,0.3333333333333333,0
347,38,0,3,0.09,14.8,74.0,0.3333333333333333,0
348,67,1,2,0.1475,14.6,73.0,1.0,1
349,31,1,0,0.1575,18.6,93.0,1.0,1
350,29,0,3,0.0675,15.2,76.0,0.3333333333333333,0
351,64,1,2,0.2025,30.6,153.0,1.0,1
352,33,0,3,0.0775,14.6,73.0,0.3333333333333333,0
353,80,0,3,0.19,20.0,100.0,0.6666666666666666,0
354,40,0,3,0.145,19.0,95.0,0.6666666666666666,0
