lidbetter
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
251,45,0,1,0.1025,43.0,43.0,0.6,0
252,52,0,1,0.125,50.0,50.0,0.2,0
253,7,0,1,0.0125,5.0,5.0,0.0,0
254,80,1,0,0.195,80.0,80.0,1.0,1
255,30,0,1,0.07,28.0,28.0,0.2,0
256,17,0,1,0.0375,15.0,15.0,0.0,0
257,30,0,1,0.07,28.0,28.0,0.4,0
258,63,0,1,0.1525,61.0,61.0,0.6,0
259,73,0,1,0.1725,71.0,71.0,0.8,0
260,9,0,1,0.0175,7.0,7.0,0.0,0
261,36,0,1,0.085,34.0,34.0,0.2,0
262,20,0,1,0.045,18.0,18.0,0.0,0
263,98,1,0,0.2375,98.0,98.0,1.0,1
264,44,0,1,0.105,42.0,42.0,0.2,0
265,36,0,1,0.085,34.0,34.0,0.2,0
266,69,0,1,0.165,67.0,67.0,0.8,0
267,17,0,1,0.0375,15.0,15.0,0.2,0
268,98,1,0,0.2425,98.0,98.0,1.0,1
269,22,0,1,0.05,20.0,20.0,0.0,0
270,33,0,1,0.0775,31.0,31.0,0.2,0
271,69,0,1,0.135,67.0,67.0,0.8,0
272,73,1,0,0.1775,73.0,73.0,1.0,1
273,19,0,1,0.03,17.0,17.0,0.4,0
274,30,0,1,0.07,28.0,28.0,0.2,0
275,40,0,1,0.095,38.0,38.0,0.4,0
276,20,0,1,0.045,18.0,18.0,0.0,0
277,18,0,1,0.04,16.0,16.0,0.0,0
278,52,1,0,0.13,52.0,52.0,1.0,1
279,15,0,1,0.0325,13.0,13.0,0.0,0
280,14,0,1,0.03,12.0,12.0,0.0,0
281,23,0,1,0.0525,21.0,21.0,0.0,0
282,38,0,1,0.09,36.0,36.0,0.0,0
283,23,0,1,0.0525,21.0,21.0,0.4,0
284,7,0,1,0.0125,5.0,5.0,0.0,0
285,74,1,0,0.18,74.0,74.0,1.0,1
286,49,0,1,0.1175,47.0,47.0,0.6,0
287,57,1,0,0.14,57.0,57.0,1.0,1
288,72,0,1,0.1725,70.0,70.0,0.4,0
289,22,0,1,0.05,20.0,20.0,0.0,0
290,63,1,0,0.15,63.0,63.0,1.0,1
291,17,0,1,0.0375,15.0,15.0,0.0,0
292,65,0,1,0.155,63.0,63.0,0.6,0
293,48,0,1,0.115,46.0,46.0,0.2,0
294,6,0,1,0.01,4.0,4.0,0.0,0
295,33,0,1,0.0775,31.0,31.0,0.2,0
296,30,0,1,0.07,28.0,28.0,0.2,0
297,88,0,1,0.21,86.0,86.0,0.8,0
298,61,1,0,0.1525,61.0,61.0,1.0,1
299,25,0,1,0.0575,23.0,23.0,0.2,0
300,46,0,1,0.11,44.0,44.0,0.2,0
301,24,0,1,0.055,22.0,22.0,0.0,0
302,23,0,1,0.0525,21.0,21.0,0.2,0
303,65,1,0,0.1625,65.0,65.0,1.0,1
304,67,0,1,0.1625,65.0,65.0,0.6,0
305,11,0,1,0.0225,9.0,9.0,0.0,0
306,90,1,0,0.225,90.0,90.0,1.0,1
307,23,0,1,0.0525,21.0,21.0,0.0,0
308,47,1,0,0.1175,47.0,47.0,1.0,1
309,80,1,0,0.1925,80.0,80.0,1.0,1
310,46,0,1,0.11,44.0,44.0,0.4,0
311,29,0,1,0.0675,27.0,27.0,0.2,0
312,54,0,1,0.12,52.0,52.0,0.8,0
313,82,1,0,0.2025,82.0,82.0,1.0,1
314,32,0,1,0.0725,30.0,30.0,0.4,0
315,25,0,1,0.0575,23.0,23.0,0.2,0
316,82,1,0,0.18,82.0,82.0,1.0,1
317,77,1,0,0.19,77.0,77.0,1.0,1
318,27,0,1,0.035,25.0,25.0,0.2,0
319,54,0,1,0.13,52.0,52.0,0.4,0
320,10,0,1,0.02,8.0,8.0,0.0,0
321,66,0,1,0.16,64.0,64.0,0.6,0
322,18,0,1,0.04,16.0,16.0,0.0,0
323,27,0,1,0.0625,25.0,25.0,0.4,0
324,62,1,0,0.135,62.0,62.0,1.0,1
325,13,0,1,0.0275,11.0,11.0,0.0,0
326,22,0,1,0.05,20.0,20.0,0.2,0
327,51,0,1,0.1225,49.0,49.0,0.4,0
328,23,0,1,0.0525,21.0,21.0,0.0,0
329,46,1,0,0.1125,46.0,46.0,1.0,1
330,45,0,1,0.1075,43.0,43.0,0.2,0
331,9,0,1,0.0175,7.0,7.0,0.0,0
332,96,0,1,0.2275,94.0,94.0,0.8,0
333,94,1,0,0.19,94.0,94.0,1.0,1
334,8,0,1,0.015,6.0,6.0,0.0,0
335,25,0,1,0.0575,23.0,23.0,0.0,0
