lidbetter
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
197,39,1,8,0.0975,31.9,319.0,1.0,1
198,42,1,4,0.105,35.6,356.0,1.0,1
199,84,1,9,0.175,34.5,345.0,1.0,1
200,77,1,9,0.1875,37.7,377.0,1.0,1
201,87,1,8,0.19,47.2,472.0,1.0,1
202,64,1,8,0.16,33.6,336.0,1.0,1
203,73,1,7,0.18,36.2,362.0,1.0,1
204,67,1,6,0.165,52.9,529.0,1.0,1
205,34,0,10,0.08,31.2,312.0,0.0,0
206,53,0,10,0.1275,40.6,406.0,0.0,0
207,66,1,3,0.1625,60.0,600.0,1.0,1
208,76,1,8,0.16,36.8,368.0,1.0,1
209,70,1,5,0.1375,54.3,543.0,1.0,1
210,37,1,9,0.0925,33.5,335.0,1.0,1
211,21,1,6,0.0525,20.0,200.0,1.0,1
212,34,0,10,0.0775,24.0,240.0,0.5,0
213,40,1,6,0.1,28.6,286.0,1.0,1
214,81,1,8,0.1875,38.7,387.0,1.0,1
215,55,0,10,0.1325,39.6,396.0,0.5,0
216,17,1,5,0.0425,15.4,154.0,1.0,1
217,58,1,7,0.1425,26.5,265.0,1.0,1
218,48,1,9,0.12,35.7,357.0,1.0,1
219,87,1,9,0.2075,46.5,465.0,1.0,1
220,93,1,9,0.2325,36.9,369.0,1.0,1
221,62,1,6,0.155,48.9,489.0,1.0,1
222,23,1,8,0.0575,14.4,144.0,1.0,1
223,65,1,9,0.1625,28.9,289.0,1.0,1
224,83,1,3,0.195,75.7,757.0,1.0,1
225,29,0,10,0.0675,23.4,234.0,0.5,0
226,38,1,7,0.095,25.9,259.0,1.0,1
227,58,1,8,0.125,47.0,470.0,1.0,1
228,43,1,6,0.1075,40.0,400.0,1.0,1
229,44,1,8,0.11,37.3,373.0,1.0,1
230,49,1,7,0.12,30.3,303.0,1.0,1
231,42,1,8,0.105,24.8,248.0,1.0,1
232,73,1,4,0.1775,62.2,622.0,1.0,1
233,83,1,9,0.2075,38.9,389.0,1.0,1
234,59,1,6,0.1475,32.0,320.0,1.0,1
235,41,1,6,0.1,34.2,342.0,1.0,1
236,79,1,9,0.19,23.7,237.0,1.0,1
237,69,0,10,0.1675,23.7,237.0,0.5,0
238,13,1,8,0.0325,3.4,34.0,1.0,1
239,66,1,9,0.1475,26.8,268.0,1.0,1
240,71,0,10,0.17,23.8,238.0,0.5,0
241,81,1,9,0.2,51.7,517.0,1.0,1
242,38,1,9,0.095,21.7,217.0,1.0,1
243,55,1,3,0.135,49.9,499.0,1.0,1
244,28,1,4,0.07,26.6,266.0,1.0,1
245,51,1,2,0.125,46.4,464.0,1.0,1
246,30,0,10,0.07,23.2,232.0,0.0,0
247,55,1,6,0.1175,43.8,438.0,1.0,1
248,100,1,7,0.245,60.7,607.0,1.0,1
249,69,1,7,0.165,60.5,605.0,1.0,1
250,37,1,8,0.0925,16.2,162.0,1.0,1
251,22,1,8,0.055,11.6,116.0,1.0,1
252,68,1,6,0.17,51.4,514.0,1.0,1
253,55,0,10,0.13,41.6,416.0,0.5,0
254,71,0,10,0.17,34.1,341.0,0.5,0
255,70,1,7,0.17,37.8,378.0,1.0,1
256,67,1,7,0.1675,44.4,444.0,1.0,1
257,46,0,10,0.11,26.4,264.0,0.5,0
258,16,0,10,0.035,14.0,140.0,0.0,0
259,57,1,2,0.1425,52.4,524.0,1.0,1
260,74,1,7,0.165,42.2,422.0,1.0,1
261,55,1,9,0.1375,21.7,217.0,1.0,1
262,42,1,4,0.105,38.0,380.0,1.0,1
263,55,1,9,0.1375,39.4,394.0,1.0,1
264,34,1,7,0.0725,26.7,267.0,1.0,1
265,35,1,5,0.0875,25.3,253.0,1.0,1
266,45,1,6,0.1,22.7,227.0,1.0,1
267,64,1,6,0.1575,50.1,501.0,1.0,1
268,84,0,10,0.1975,42.2,422.0,0.0,0
269,66,1,8,0.165,39.7,397.0,1.0,1
270,44,1,9,0.11,22.3,223.0,1.0,1
271,57,1,9,0.1425,21.2,212.0,1.0,1
272,96,1,9,0.235,49.0,490.0,1.0,1
273,67,1,7,0.155,35.7,357.0,1.0,1
