traverse_ordered_qa
i,steps,all_found,taken_down,frac_area_covered,mean_distance_travelled,total_distance_covered,hider_frac_found,all_found
319,46,0,3,0.18,19.2,96.0,0.0,0
320,143,1,2,0.2825,50.2,251.0,1.0,1
321,27,0,3,0.065,11.2,56.0,0.0,0
322,89,0,3,0.21,25.2,126.0,0.6666666666666666,0
323,23,0,3,0.0525,9.0,45.0,0.3333333333333333,0
324,51,1,1,0.19,25.0,125.0,1.0,1
325,55,1,1,0.185,26.2,131.0,1.0,1
326,42,0,3,0.135,19.2,96.0,0.3333333333333333,0
327,73,0,3,0.125,22.6,113.0,0.6666666666666666,0
328,42,0,3,0.115,18.6,93.0,0.3333333333333333,0
329,29,0,3,0.0875,16.2,81.0,0.3333333333333333,0
330,31,1,0,0.1475,18.6,93.0,1.0,1
331,18,1,0,0.1125,10.8,54.0,1.0,1
332,12,0,3,0.035,5.8,29.0,0.0,0
333,90,1,2,0.1875,28.8,144.0,1.0,1
334,31,0,3,0.135,15.0,75.0,0.3333333333333333,0
335,41,0,3,0.1075,15.6,78.0,0.6666666666666666,0
336,58,0,3,0.1475,13.6,68.0,0.3333333333333333,0
337,25,0,3,0.0575,13.8,69.0,0.0,0
338,38,1,2,0.0925,16.0,80.0,1.0,1
339,47,0,3,0.15,16.6,83.0,0.6666666666666666,0
340,21,0,3,0.0475,11.4,57.0,0.0,0
341,39,0,3,0.09,14.2,71.0,0.6666666666666666,0
342,55,0,3,0.1325,12.6,63.0,0.3333333333333333,0
343,32,0,3,0.1025,18.0,90.0,0.0,0
344,73,1,2,0.1975,19.4,97.0,1.0,1
345,25,1,0,0.0775,15.0,75.0,1.0,1
346,64,1,2,0.1375,25.2,126.0,1.0,1
347,41,1,2,0.1425,13.8,69.0,1.0,1
348,40,1,2,0.1,15.6,78.0,1.0,1
349,18,0,3,0.04,4.8,24.0,0.3333333333333333,0
350,23,0,3,0.0925,8.8,44.0,0.3333333333333333,0
351,60,1,2,0.1775,20.0,100.0,1.0,1
352,48,0,3,0.1125,16.8,84.0,0.6666666666666666,0
353,30,1,1,0.12,14.8,74.0,1.0,1
354,30,0,3,0.07,16.8,84.0,0.0,0
355,35,0,3,0.105,16.0,80.0,0.0,0
356,37,0,3,0.145,18.2,91.0,0.3333333333333333,0
357,29,1,1,0.1275,16.2,81.0,1.0,1
358,52,1,2,0.2025,28.0,140.0,1.0,1
359,72,0,3,0.1475,21.2,106.0,0.6666666666666666,0
360,118,1,2,0.2225,37.2,186.0,1.0,1
361,36,1,0,0.2125,21.6,108.0,1.0,1
362,57,1,0,0.25,34.2,171.0,1.0,1
363,74,1,2,0.175,22.2,111.0,1.0,1
364,43,1,2,0.1275,17.6,88.0,1.0,1
365,76,0,3,0.2275,26.4,132.0,0.3333333333333333,0
366,55,1,2,0.1675,21.0,105.0,1.0,1
367,86,0,3,0.265,31.6,158.0,0.6666666666666666,0
368,79,1,2,0.1925,23.4,117.0,1.0,1
369,35,0,3,0.135,16.6,83.0,0.0,0
370,30,0,3,0.135,14.0,70.0,0.3333333333333333,0
371,32,0,3,0.0625,13.2,66.0,0.3333333333333333,0
372,29,1,0,0.13,17.4,87.0,1.0,1
373,28,0,3,0.1125,14.0,70.0,0.0,0
374,94,1,2,0.2,25.8,129.0,1.0,1
375,29,0,3,0.0825,9.2,46.0,0.0,0
376,34,1,2,0.105,11.6,58.0,1.0,1
377,69,0,3,0.165,25.6,128.0,0.6666666666666666,0
378,30,0,3,0.0975,13.4,67.0,0.3333333333333333,0
379,47,0,3,0.1575,15.2,76.0,0.3333333333333333,0
380,18,1,0,0.1225,10.8,54.0,1.0,1
381,44,1,1,0.195,25.4,127.0,1.0,1
382,37,0,3,0.12,15.2,76.0,0.6666666666666666,0
383,35,0,3,0.165,19.2,96.0,0.6666666666666666,0
384,14,0,3,0.03,7.2,36.0,0.0,0
385,9,0,3,0.0175,4.2,21.0,0.0,0
386,39,1,0,0.225,23.4,117.0,1.0,1
387,45,1,0,0.2025,27.0,135.0,1.0,1
388,44,1,2,0.14,14.6,73.0,1.0,1
389,24,0,3,0.055,6.4,32.0,0.3333333333333333,0
390,25,0,3,0.06,12.6,63.0,0.3333333333333333,0
391,37,0,3,0.0875,14.4,72.0,0.6666666666666666,0
392,41,0,3,0.11,19.0,95.0,0.3333333333333333,0
393,76,0,3,0.1875,26.8,134.0,0.6666666666666666,0
394,20,1,1,0.0925,11.8,59.0,1.0,1
395,39,0,3,0.0675,15.8,79.0,0.3333333333333333,0
396,16,0,3,0.035,8.4,42.0,0.0,0
397,54,0,3,0.2075,18.4,92.0,0.3333333333333333,0
398,53,0,3,0.1275,21.4,107.0,0.3333333333333333,0
399,34,0,3,0.1725,17.6,88.0,0.3333333333333333,0
400,43,1,1,0.1475,21.6,108.0,1.0,1
401,43,0,3,0.15,19.0,95.0,0.6666666666666666,0
402,41,1,2,0.105,13.8,69.0,1.0,1
