341. Steps: 10, Found: True, Taken down:1 
342. Steps: 21, Found: False, Taken down:5 
343. Steps: 46, Found: False, Taken down:5 
344. Steps: 16, Found: True, Taken down:2 
345. Steps: 26, Found: True, Taken down:4 
346. Steps: 7, Found: True, Taken down:1 
347. Steps: 16, Found: True, Taken down:1 
348. Steps: 24, Found: True, Taken down:4 
349. Steps: 38, Found: True, Taken down:2 
350. Steps: 20, Found: True, Taken down:3 
351. Steps: 33, Found: True, Taken down:3 
352. Steps: 12, Found: True, Taken down:2 
353. Steps: 26, Found: True, Taken down:3 
354. Steps: 8, Found: True, Taken down:0 
355. Steps: 31, Found: True, Taken down:2 
356. Steps: 37, Found: False, Taken down:5 
357. Steps: 11, Found: True, Taken down:4 
358. Steps: 44, Found: True, Taken down:3 
359. Steps: 33, Found: True, Taken down:2 
360. Steps: 25, Found: True, Taken down:3 
361. Steps: 13, Found: True, Taken down:2 
362. Steps: 27, Found: True, Taken down:2 
363. Steps: 42, Found: True, Taken down:4 
364. Steps: 41, Found: True, Taken down:4 
365. Steps: 34, Found: True, Taken down:4 
366. Steps: 6, Found: True, Taken down:3 
367. Steps: 7, Found: True, Taken down:1 
368. Steps: 23, Found: True, Taken down:2 
369. Steps: 18, Found: True, Taken down:2 
370. Steps: 19, Found: True, Taken down:1 
371. Steps: 16, Found: True, Taken down:2 
372. Steps: 10, Found: True, Taken down:1 
373. Steps: 27, Found: True, Taken down:4 
374. Steps: 21, Found: True, Taken down:4 
375. Steps: 43, Found: True, Taken down:4 
376. Steps: 27, Found: True, Taken down:4 
377. Steps: 41, Found: False, Taken down:5 
378. Steps: 27, Found: True, Taken down:3 
379. Steps: 23, Found: True, Taken down:4 
380. Steps: 12, Found: True, Taken down:0 
381. Steps: 33, Found: False, Taken down:5 
382. Steps: 39, Found: False, Taken down:5 
383. Steps: 32, Found: True, Taken down:4 
384. Steps: 22, Found: True, Taken down:3 
385. Steps: 43, Found: True, Taken down:4 
386. Steps: 12, Found: True, Taken down:0 
387. Steps: 36, Found: True, Taken down:4 
388. Steps: 39, Found: False, Taken down:5 
389. Steps: 33, Found: True, Taken down:4 
390. Steps: 38, Found: False, Taken down:5 
391. Steps: 11, Found: True, Taken down:1 
392. Steps: 40, Found: False, Taken down:5 
393. Steps: 27, Found: True, Taken down:3 
394. Steps: 15, Found: True, Taken down:2 
395. Steps: 39, Found: True, Taken down:4 
396. Steps: 19, Found: True, Taken down:1 
397. Steps: 22, Found: True, Taken down:1 
398. Steps: 23, Found: True, Taken down:0 
399. Steps: 19, Found: True, Taken down:2 
400. Steps: 11, Found: True, Taken down:0 
401. Steps: 19, Found: True, Taken down:3 
402. Steps: 17, Found: False, Taken down:5 
403. Steps: 24, Found: True, Taken down:2 
404. Steps: 43, Found: False, Taken down:5 
405. Steps: 50, Found: False, Taken down:5 
406. Steps: 14, Found: True, Taken down:2 
