522. Steps: 14, Found: True, Taken down:0 
523. Steps: 17, Found: True, Taken down:1 
524. Steps: 9, Found: True, Taken down:0 
525. Steps: 12, Found: True, Taken down:1 
526. Steps: 5, Found: True, Taken down:1 
527. Steps: 14, Found: True, Taken down:1 
528. Steps: 13, Found: True, Taken down:1 
529. Steps: 16, Found: False, Taken down:2 
530. Steps: 17, Found: True, Taken down:1 
531. Steps: 24, Found: False, Taken down:2 
532. Steps: 17, Found: True, Taken down:0 
533. Steps: 16, Found: True, Taken down:1 
534. Steps: 19, Found: True, Taken down:0 
535. Steps: 7, Found: True, Taken down:0 
536. Steps: 6, Found: True, Taken down:1 
537. Steps: 9, Found: True, Taken down:1 
538. Steps: 11, Found: True, Taken down:0 
539. Steps: 5, Found: True, Taken down:0 
540. Steps: 3, Found: True, Taken down:0 
541. Steps: 10, Found: True, Taken down:1 
542. Steps: 11, Found: True, Taken down:0 
543. Steps: 8, Found: True, Taken down:0 
544. Steps: 8, Found: False, Taken down:2 
545. Steps: 4, Found: True, Taken down:1 
546. Steps: 18, Found: False, Taken down:2 
547. Steps: 20, Found: True, Taken down:1 
548. Steps: 4, Found: True, Taken down:0 
549. Steps: 5, Found: True, Taken down:0 
550. Steps: 14, Found: True, Taken down:0 
551. Steps: 18, Found: True, Taken down:1 
552. Steps: 9, Found: True, Taken down:0 
553. Steps: 6, Found: True, Taken down:0 
554. Steps: 9, Found: True, Taken down:0 
555. Steps: 16, Found: True, Taken down:0 
556. Steps: 13, Found: True, Taken down:0 
557. Steps: 12, Found: True, Taken down:0 
558. Steps: 10, Found: False, Taken down:2 
559. Steps: 21, Found: True, Taken down:0 
560. Steps: 2, Found: True, Taken down:1 
561. Steps: 7, Found: True, Taken down:0 
562. Steps: 4, Found: True, Taken down:0 
563. Steps: 6, Found: True, Taken down:1 
564. Steps: 11, Found: True, Taken down:1 
565. Steps: 4, Found: True, Taken down:0 
566. Steps: 9, Found: True, Taken down:1 
567. Steps: 15, Found: True, Taken down:1 
568. Steps: 7, Found: True, Taken down:0 
569. Steps: 20, Found: True, Taken down:1 
570. Steps: 21, Found: True, Taken down:1 
571. Steps: 17, Found: True, Taken down:1 
572. Steps: 16, Found: True, Taken down:0 
573. Steps: 17, Found: True, Taken down:0 
574. Steps: 10, Found: True, Taken down:0 
575. Steps: 8, Found: True, Taken down:0 
576. Steps: 7, Found: True, Taken down:1 
577. Steps: 13, Found: True, Taken down:1 
578. Steps: 23, Found: True, Taken down:0 
579. Steps: 15, Found: True, Taken down:0 
580. Steps: 15, Found: False, Taken down:2 
581. Steps: 8, Found: True, Taken down:0 
582. Steps: 7, Found: True, Taken down:0 
583. Steps: 10, Found: True, Taken down:1 
584. Steps: 12, Found: True, Taken down:0 
585. Steps: 11, Found: True, Taken down:0 
586. Steps: 18, Found: True, Taken down:0 
587. Steps: 19, Found: True, Taken down:0 
